Date & Time,CO2,Humidity,PM2.5,PM10,Temperature,TVOC,Total
2024-01-31 18:57:53-05:00,790.0,31.5,1.0,1.0,24.1,1.0,848.6
2024-01-31 18:52:53-05:00,799.0,31.5,3.0,3.0,24.1,1.0,861.6
2024-01-31 18:47:53-05:00,802.0,31.5,2.0,2.0,24.1,1.0,862.6
2024-01-31 18:42:53-05:00,803.0,31.5,1.0,1.0,24.0,1.0,861.5
2024-01-31 18:37:53-05:00,812.0,31.5,3.0,3.0,24.0,1.0,874.5
2024-01-31 18:32:53-05:00,812.0,31.5,2.0,2.0,24.0,1.0,872.5
2024-01-31 18:27:53-05:00,815.0,31.5,2.0,2.0,24.0,1.0,875.5
2024-01-31 18:22:53-05:00,806.0,31.5,2.0,2.0,24.0,1.0,866.5
2024-01-31 18:17:53-05:00,800.0,31.5,2.0,2.0,24.1,1.0,860.6
2024-01-31 18:12:52-05:00,795.0,31.5,1.0,2.0,24.1,1.0,854.6
2024-01-31 18:07:52-05:00,796.0,31.5,2.0,2.0,24.1,1.01,856.61
2024-01-31 18:02:53-05:00,794.0,31.5,2.0,2.0,24.1,1.0,854.6
2024-01-31 17:57:53-05:00,788.0,31.5,1.0,1.0,24.1,1.0,846.6
2024-01-31 17:52:52-05:00,747.0,31.5,3.0,3.0,24.1,1.0,809.6
2024-01-31 17:47:52-05:00,745.0,31.5,2.0,2.0,24.1,1.0,805.6
2024-01-31 17:42:52-05:00,741.0,31.5,1.0,1.0,24.0,1.0,799.5
2024-01-31 17:37:53-05:00,739.0,31.0,2.0,2.0,24.0,1.0,799.0
2024-01-31 17:32:52-05:00,736.0,31.0,2.0,2.0,24.0,1.0,796.0
2024-01-31 17:27:52-05:00,748.0,31.0,1.0,1.0,24.0,1.0,806.0
2024-01-31 17:22:53-05:00,759.0,31.0,2.0,3.0,24.0,1.0,820.0
2024-01-31 17:17:52-05:00,772.0,31.0,2.0,2.0,24.0,1.0,832.0
2024-01-31 17:12:52-05:00,788.0,31.0,1.0,1.0,24.1,1.01,846.11
2024-01-31 17:07:52-05:00,812.0,31.5,2.0,2.0,24.1,1.02,872.62
2024-01-31 17:02:53-05:00,817.0,31.5,3.0,3.0,24.1,1.04,879.64
2024-01-31 16:57:53-05:00,837.0,31.5,1.0,1.0,24.0,1.04,895.54
2024-01-31 16:52:52-05:00,856.0,31.5,2.0,2.0,24.0,1.06,916.56
2024-01-31 16:47:52-05:00,888.0,31.5,2.0,2.0,24.0,1.12,948.62
2024-01-31 16:42:52-05:00,900.0,32.0,1.0,1.0,24.0,1.04,959.04
2024-01-31 16:37:52-05:00,916.0,32.0,2.0,2.0,24.0,1.04,977.04
2024-01-31 16:32:52-05:00,945.0,32.0,2.0,2.0,23.9,1.07,1005.97
2024-01-31 16:27:52-05:00,988.0,32.0,1.0,1.0,23.9,1.11,1047.01
2024-01-31 16:22:52-05:00,989.0,32.5,2.0,2.0,23.9,1.05,1050.45
2024-01-31 16:17:52-05:00,961.0,32.0,2.0,2.0,23.9,1.06,1021.96
2024-01-31 16:12:52-05:00,957.0,32.0,1.0,1.0,24.0,1.08,1016.08
2024-01-31 16:07:52-05:00,993.0,32.0,2.0,2.0,24.0,1.1,1054.1
2024-01-31 16:02:52-05:00,989.0,32.5,2.0,2.0,24.0,1.06,1050.56
2024-01-31 15:57:52-05:00,976.0,32.5,1.0,1.0,24.0,1.07,1035.57
2024-01-31 15:52:52-05:00,982.0,32.0,2.0,2.0,24.0,1.08,1043.08
2024-01-31 15:47:52-05:00,986.0,32.5,2.0,3.0,24.0,1.17,1048.67
2024-01-31 15:42:52-05:00,975.0,32.5,1.0,1.0,24.0,1.21,1034.71
2024-01-31 15:37:52-05:00,951.0,32.5,2.0,2.0,24.0,1.11,1012.61
2024-01-31 15:32:52-05:00,913.0,32.5,2.0,2.0,23.9,1.18,974.58
2024-01-31 15:27:52-05:00,882.0,32.0,1.0,1.0,23.9,1.29,941.19
2024-01-31 15:22:52-05:00,885.0,32.0,2.0,2.0,23.8,1.34,946.14
